dept_no,dept_name,emp_no,last_name,first_name,to_date
d002,Finance,27024,Bennis,Zijian,1/1/9999
d003,Human Resources,27039,Sullins,Henk,1/1/9999
d005,Development,27044,Zaiane,Chuanyi,1/1/9999
d005,Development,27045,Merks,Teruyuki,1/1/9999
d004,Production,27047,Hartvigsen,Torsten,1/1/9999
d008,Research,27055,Dulay,Yaghout,1/1/9999
d007,Sales,27056,Hiyoshi,Leen,1/1/9999
d005,Development,27065,Eugenio,Roded,1/1/9999
d004,Production,27096,Tyugu,Rayond,1/1/9999
d005,Development,27107,Murtha,Lansing,1/1/9999
d005,Development,27112,Anily,Yechezkel,1/1/9999
d005,Development,27117,Eugenio,Shirish,1/1/9999
d005,Development,27118,Azadmanesh,Anestis,1/1/9999
d005,Development,27130,Rathonyi,Kazuhira,1/1/9999
d005,Development,27193,Nivat,Dulce,1/1/9999
d004,Production,27202,Rouquie,Takanari,1/1/9999
d004,Production,27203,Aloia,Conal,1/1/9999
d006,Quality Management,27203,Aloia,Conal,1/1/9999
d007,Sales,27221,Rosar,Syozo,1/1/9999
d009,Customer Service,27221,Rosar,Syozo,1/1/9999
d007,Sales,27223,Delgrossi,Noritoshi,1/1/9999
d008,Research,27236,Wegerle,Kotesh,1/1/9999
d002,Finance,27241,Erez,Mayuri,1/1/9999
d002,Finance,27249,Kushnir,Martins,1/1/9999
d006,Quality Management,27254,Sewelson,Trygve,1/1/9999
d008,Research,27255,Kropf,Yannis,1/1/9999
d007,Sales,27272,Genin,Kwan,1/1/9999
d005,Development,27273,Jeong,Alassane,1/1/9999
d005,Development,27281,Bahi,Leaf,1/1/9999
d005,Development,27295,Orlowska,Marc,1/1/9999
d005,Development,27298,Loncour,Stepehn,1/1/9999
d006,Quality Management,27311,Schnabel,Gil,1/1/9999
d004,Production,27319,Bashian,Adin,1/1/9999
d008,Research,27319,Bashian,Adin,1/1/9999
d004,Production,27325,Baer,Kauko,1/1/9999
d004,Production,27330,Lowrie,Cedric,1/1/9999
d005,Development,27332,Merey,Charmane,1/1/9999
d004,Production,27337,Undy,Mads,1/1/9999
d006,Quality Management,27357,Schmiedel,Tsvetan,1/1/9999
d002,Finance,27365,Morris,Mang,1/1/9999
d007,Sales,27365,Morris,Mang,1/1/9999
d004,Production,27367,Junet,Mokhtar,1/1/9999
d007,Sales,27368,Keustermans,Dipayan,1/1/9999
d007,Sales,27369,Chinen,Cedric,1/1/9999
d005,Development,27373,Varman,Jiafu,1/1/9999
d008,Research,27373,Varman,Jiafu,1/1/9999
d003,Human Resources,27374,Brattka,Sham,1/1/9999
d005,Development,27377,Gils,Mara,1/1/9999
d004,Production,27381,Ambroszkiewicz,Eirik,1/1/9999
d004,Production,27396,Zykh,Brendon,1/1/9999
d004,Production,27403,Hiroyama,Mamdouh,1/1/9999
d001,Marketing,27412,Boguraev,Shigeaki,1/1/9999
d001,Marketing,27413,Aamodt,Phuoc,1/1/9999
d002,Finance,27416,Ratnaker,Subir,1/1/9999
d004,Production,27429,Plotkin,Nahid,1/1/9999
d006,Quality Management,27429,Plotkin,Nahid,1/1/9999
d003,Human Resources,27441,Demian,Kitty,1/1/9999
d002,Finance,27446,Levergood,Heon,1/1/9999
d002,Finance,27460,Munck,Chikara,1/1/9999
d002,Finance,27463,McDermid,Masaki,1/1/9999
d005,Development,27492,Provine,Guoxiang,1/1/9999
d004,Production,27496,Angelov,Marke,1/1/9999
d005,Development,27511,Perelgut,Jiann,1/1/9999
d005,Development,27528,Baranowski,Martijn,1/1/9999
d008,Research,27528,Baranowski,Martijn,1/1/9999
d004,Production,27540,Yeung,Hein,1/1/9999
d007,Sales,27548,Riexinger,Slavian,1/1/9999
d009,Customer Service,27548,Riexinger,Slavian,1/1/9999
d007,Sales,27557,Oxman,Teunis,1/1/9999
d003,Human Resources,27566,Kobuchi,Annemarie,1/1/9999
d002,Finance,27580,Haumacher,Mona,1/1/9999
d004,Production,27604,Sudbeck,Yuguang,1/1/9999
d003,Human Resources,27619,Poulakidas,Ronghao,1/1/9999
d005,Development,27626,Flanders,Vishu,1/1/9999
d004,Production,27628,Blokdijk,Stafford,1/1/9999
d005,Development,27642,Zockler,Muneo,1/1/9999
d007,Sales,27652,Matteis,Jacqueline,1/1/9999
d005,Development,27654,Morris,Sajjan,1/1/9999
d005,Development,27670,Merey,Yolla,1/1/9999
d001,Marketing,27671,Flasterstein,JiYoung,1/1/9999
d004,Production,27677,Peak,Mohammed,1/1/9999
d004,Production,27687,Baumann,Ronghao,1/1/9999
d004,Production,27703,Douceur,Mahmut,1/1/9999
d001,Marketing,27708,Gill,Dayanand,1/1/9999
d004,Production,27711,Goodrum,Leaf,1/1/9999
d009,Customer Service,27711,Goodrum,Leaf,1/1/9999
d004,Production,27730,Perng,Uinam,1/1/9999
d005,Development,27732,Facello,Girolamo,1/1/9999
d007,Sales,27739,Piancastelli,Youssef,1/1/9999
d001,Marketing,27749,Biros,Katsuyuki,1/1/9999
d007,Sales,27756,Suwa,Stevo,1/1/9999
d004,Production,27759,Spelt,Subhada,1/1/9999
d004,Production,27765,Litvinov,Shushma,1/1/9999
d007,Sales,27772,Salvesen,Shahaf,1/1/9999
d001,Marketing,27780,Simkin,Siamak,1/1/9999
d008,Research,27781,Wielonsky,Qiwen,1/1/9999
d003,Human Resources,27786,Taubman,Lijia,1/1/9999
d004,Production,27787,Bondorf,Xinglin,1/1/9999
d007,Sales,27797,Botman,Kazuhisa,1/1/9999
d007,Sales,27801,Danecki,Naraig,1/1/9999
d006,Quality Management,27837,Chachaty,Branimir,1/1/9999
d004,Production,27843,Speek,Bedir,1/1/9999
d004,Production,27848,Bednarek,Tooru,1/1/9999
d009,Customer Service,27854,Unni,Yurii,1/1/9999
d004,Production,27856,Holburn,Lokesh,1/1/9999
d005,Development,27856,Holburn,Lokesh,1/1/9999
d005,Development,27880,Poujol,Yinlin,1/1/9999
d009,Customer Service,27883,Nilsson,Woody,1/1/9999
d004,Production,27884,Zucker,Kristina,1/1/9999
d006,Quality Management,27884,Zucker,Kristina,1/1/9999
d009,Customer Service,27888,Birta,Berna,1/1/9999
d002,Finance,27899,Hebert,Kristen,1/1/9999
d005,Development,27905,Barinka,Monique,1/1/9999
d004,Production,27910,Haumacher,Gil,1/1/9999
d009,Customer Service,27910,Haumacher,Gil,1/1/9999
d003,Human Resources,27914,Businaro,Valter,1/1/9999
d008,Research,27926,Huttel,Mats,1/1/9999
d004,Production,27939,Axelband,Seongbae,1/1/9999
d009,Customer Service,27953,Eiter,Katsuyuki,1/1/9999
d004,Production,27958,Hasham,Uno,1/1/9999
d004,Production,27959,Dusink,Moheb,1/1/9999
d005,Development,27959,Dusink,Moheb,1/1/9999
d005,Development,27961,Murtafg,Wojceich,1/1/9999
d002,Finance,27968,England,Harngdar,1/1/9999
d003,Human Resources,27968,England,Harngdar,1/1/9999
d005,Development,27975,Rehfuss,Remmert,1/1/9999
d004,Production,27978,Unni,Sedat,1/1/9999
d005,Development,27978,Unni,Sedat,1/1/9999
d002,Finance,27988,Etalle,Armond,1/1/9999
d003,Human Resources,27988,Etalle,Armond,1/1/9999
d003,Human Resources,27995,Serre,Yunming,1/1/9999
d005,Development,28008,Luit,Shugo,1/1/9999
d009,Customer Service,28008,Luit,Shugo,1/1/9999
d005,Development,28027,Wallrath,Kagan,1/1/9999
d009,Customer Service,28027,Wallrath,Kagan,1/1/9999
d007,Sales,28074,Syrotiuk,Shmuel,1/1/9999
d002,Finance,28076,Pelc,Suzette,1/1/9999
d005,Development,28079,Salvesen,Rimon,1/1/9999
d008,Research,28079,Salvesen,Rimon,1/1/9999
d004,Production,28082,Sudbeck,Michaela,1/1/9999
d001,Marketing,28104,Marsiglia,Dmitry,1/1/9999
d002,Finance,28127,Veevers,Minghong,1/1/9999
d004,Production,28139,Merkl,Theron,1/1/9999
d008,Research,28143,Teitelbaum,Adin,1/1/9999
d005,Development,28146,Azadmanesh,Niteen,1/1/9999
d004,Production,28149,Gulik,Sandeepan,1/1/9999
d007,Sales,28161,Nicolson,Kwan,1/1/9999
d005,Development,28165,Lorch,Sanjit,1/1/9999
d005,Development,28171,Setlzner,Filipe,1/1/9999
d005,Development,28207,Ebeling,Sakthirel,1/1/9999
d005,Development,28208,Lienhardt,Tristan,1/1/9999
d007,Sales,28209,Millington,Gadiel,1/1/9999
d007,Sales,28240,Lorcy,Reuven,1/1/9999
d001,Marketing,28242,Vasanthakumar,Thodoros,1/1/9999
d007,Sales,28242,Vasanthakumar,Thodoros,1/1/9999
d001,Marketing,28281,Oxenboll,Adhemar,1/1/9999
d007,Sales,28281,Oxenboll,Adhemar,1/1/9999
d004,Production,28283,Dulay,Quingbo,1/1/9999
d009,Customer Service,28288,Niizuma,Martijn,1/1/9999
d001,Marketing,28298,Ritcey,Holgard,1/1/9999
d007,Sales,28298,Ritcey,Holgard,1/1/9999
d005,Development,28306,Papsdorf,Wilmer,1/1/9999
d005,Development,28315,Servi,Hideo,1/1/9999
d006,Quality Management,28315,Servi,Hideo,1/1/9999
d003,Human Resources,28318,Whitcomb,Teunis,1/1/9999
d002,Finance,28321,Oehlmann,Heather,1/1/9999
d007,Sales,28322,Millington,Premal,1/1/9999
d004,Production,28327,Welham,Pascal,1/1/9999
d003,Human Resources,28330,Hagimont,Weidon,1/1/9999
d007,Sales,28344,Barriga,Fan,1/1/9999
d002,Finance,28345,Seghrouchni,Tamiya,1/1/9999
d007,Sales,28350,Heusch,Theron,1/1/9999
d005,Development,28354,Prochazka,Geoffrey,1/1/9999
d007,Sales,28358,Salinas,Constantino,1/1/9999
d007,Sales,28359,Stellhorn,Kshitij,1/1/9999
d005,Development,28366,Falster,Abdelwaheb,1/1/9999
d007,Sales,28373,Bhattacharjee,Steen,1/1/9999
d005,Development,28382,Zuberek,Mihalis,1/1/9999
d007,Sales,28383,Chimia,Gladys,1/1/9999
d007,Sales,28385,Conia,Filipp,1/1/9999
d004,Production,28386,Spelt,Snehasis,1/1/9999
d008,Research,28391,Brlek,Elvia,1/1/9999
d008,Research,28394,Emiris,Gaetan,1/1/9999
d008,Research,28404,Schicker,Francesca,1/1/9999
d001,Marketing,28411,Yavatkar,Weicheng,1/1/9999
d004,Production,28413,Brodie,Nadjib,1/1/9999
d009,Customer Service,28413,Brodie,Nadjib,1/1/9999
d009,Customer Service,28414,Azadmanesh,Juichirou,1/1/9999
d005,Development,28418,Suermann,Sachio,1/1/9999
d004,Production,28422,Cmelik,Eckart,1/1/9999
d003,Human Resources,28432,Validov,Manton,1/1/9999
d001,Marketing,28440,Tomescu,Cordelia,1/1/9999
d006,Quality Management,28444,Henseler,Harjit,1/1/9999
d005,Development,28447,Ghelli,Anneke,1/1/9999
d004,Production,28478,Simmen,Chiradeep,1/1/9999
d007,Sales,28487,Alblas,Ziva,1/1/9999
d009,Customer Service,28487,Alblas,Ziva,1/1/9999
d004,Production,28490,Jervis,Marsal,1/1/9999
d003,Human Resources,28501,Viele,Nagui,1/1/9999
d004,Production,28504,Peng,Boalin,1/1/9999
d004,Production,28510,Desikan,Subhankar,1/1/9999
d006,Quality Management,28511,Pero,Shugo,1/1/9999
d004,Production,28525,Highland,Dannz,1/1/9999
d009,Customer Service,28525,Highland,Dannz,1/1/9999
d003,Human Resources,28528,Veccia,Sariel,1/1/9999
d005,Development,28529,Griswold,Mabo,1/1/9999
d005,Development,28542,Guardalben,Ferdinand,1/1/9999
d007,Sales,28555,Wendorf,Kankanahalli,1/1/9999
d001,Marketing,28565,Bain,Rosalie,1/1/9999
d007,Sales,28596,Porotnikoff,Perla,1/1/9999
d008,Research,28600,Whitcomb,Mingzeng,1/1/9999
d006,Quality Management,28613,Stemann,Giao,1/1/9999
d007,Sales,28619,Majewski,Pragnesh,1/1/9999
d008,Research,28627,Plumb,Serge,1/1/9999
d003,Human Resources,28628,Zyda,Zhonghui,1/1/9999
d004,Production,28631,Marletta,Dmitry,1/1/9999
d005,Development,28631,Marletta,Dmitry,1/1/9999
d004,Production,28632,Boreale,Arne,1/1/9999
d002,Finance,28653,Flanders,Pranay,1/1/9999
d007,Sales,28653,Flanders,Pranay,1/1/9999
d004,Production,28673,Zultner,Carrsten,1/1/9999
d002,Finance,28677,Gunderson,Terresa,1/1/9999
d002,Finance,28687,Ghazalie,Ulf,1/1/9999
d007,Sales,28689,Lores,Jessie,1/1/9999
d007,Sales,28703,Remmele,Tremaine,1/1/9999
d004,Production,28714,Poehlman,Arco,1/1/9999
d004,Production,28715,Fordan,Bikash,1/1/9999
d001,Marketing,28716,Hertweck,Kristian,1/1/9999
d007,Sales,28716,Hertweck,Kristian,1/1/9999
d005,Development,28726,Veldwijk,Marie,1/1/9999
d007,Sales,28734,Heydon,Arvind,1/1/9999
d007,Sales,28739,Wixon,Elliott,1/1/9999
d003,Human Resources,28746,Maquelin,Steve,1/1/9999
d007,Sales,28750,Speckmann,Guangming,1/1/9999
d007,Sales,28753,Lichtner,Leaf,1/1/9999
d009,Customer Service,28755,Cmelik,Xiahua,1/1/9999
d007,Sales,28757,Poupard,Branimir,1/1/9999
d004,Production,28770,Farris,Abdelghani,1/1/9999
d009,Customer Service,28770,Farris,Abdelghani,1/1/9999
d005,Development,28773,Polupanov,Tomokazu,1/1/9999
d007,Sales,28779,Bottner,Fayez,1/1/9999
d004,Production,28782,Yemenis,Marl,1/1/9999
d004,Production,28794,Peron,Kyoichi,1/1/9999
d005,Development,28811,Vrecion,Cristinel,1/1/9999
d006,Quality Management,28818,Panienski,Hongzhu,1/1/9999
d004,Production,28827,Heydon,Hugh,1/1/9999
d005,Development,28855,Heering,Shan,1/1/9999
d005,Development,28867,Awdeh,Shahar,1/1/9999
d004,Production,28873,Attimonelli,Toshimo,1/1/9999
d002,Finance,28881,Rosin,Masaki,1/1/9999
d005,Development,28890,Puoti,Lijie,1/1/9999
d005,Development,28891,Krohn,Susanna,1/1/9999
d005,Development,28922,Willoner,Xiadong,1/1/9999
d009,Customer Service,28933,Bernick,Alain,1/1/9999
d007,Sales,28958,Wossner,Angel,1/1/9999
d004,Production,28962,Gini,Wuxu,1/1/9999
d004,Production,28966,Zirintsis,Shakhar,1/1/9999
d004,Production,28968,Gerteisen,Shalesh,1/1/9999
d006,Quality Management,28969,Sinitsyn,Ute,1/1/9999
d008,Research,28972,Radivojevic,Jianhao,1/1/9999
d005,Development,28976,Aingworth,Kazuhiko,1/1/9999
d001,Marketing,28981,Bernardinello,Dipayan,1/1/9999
d003,Human Resources,28981,Bernardinello,Dipayan,1/1/9999
d008,Research,28983,Luca,Mohammed,1/1/9999
d005,Development,28993,Rijckaert,Domenick,1/1/9999
d008,Research,28997,Ramsay,Persi,1/1/9999
d009,Customer Service,29017,Pews,Mats,1/1/9999
d004,Production,29024,Itzigehl,Qunsheng,1/1/9999
d005,Development,29026,Byoun,Parto,1/1/9999
d005,Development,29030,Heiserman,Nikolaus,1/1/9999
d005,Development,29032,Rassart,Mizuhito,1/1/9999
d004,Production,29052,Azulay,Doowon,1/1/9999
d005,Development,29059,Legleitner,Arumugam,1/1/9999
d006,Quality Management,29063,Seuren,Mary,1/1/9999
d002,Finance,29071,Hennings,Jaideep,1/1/9999
d004,Production,29077,Tagansky,Candida,1/1/9999
d007,Sales,29080,Shumilov,Panayotis,1/1/9999
d005,Development,29101,Salverda,Jouni,1/1/9999
d003,Human Resources,29105,Marsiglia,Snehasis,1/1/9999
d007,Sales,29120,Bergere,Parto,1/1/9999
d004,Production,29126,Suessmith,Visit,1/1/9999
d007,Sales,29133,Peck,Rafael,1/1/9999
d004,Production,29156,Cyne,Youngkon,1/1/9999
d005,Development,29178,Foong,Hairong,1/1/9999
d009,Customer Service,29182,Aamodt,Arumugam,1/1/9999
d009,Customer Service,29190,Sudbeck,Mahendra,1/1/9999
d005,Development,29191,Krogh,Ayakannu,1/1/9999
d005,Development,29194,Peris,Sarita,1/1/9999
d007,Sales,29199,Mondadori,Chaoyi,1/1/9999
d004,Production,29202,Roohalamini,Rajmohan,1/1/9999
d005,Development,29202,Roohalamini,Rajmohan,1/1/9999
d005,Development,29208,Schusler,Radoslaw,1/1/9999
d008,Research,29214,Schach,Stepehn,1/1/9999
d005,Development,29222,Trachtenberg,Remzi,1/1/9999
d009,Customer Service,29222,Trachtenberg,Remzi,1/1/9999
d003,Human Resources,29228,Guerreiro,Leszek,1/1/9999
d005,Development,29237,Beznosov,Gennadi,1/1/9999
d005,Development,29243,Koyama,Sibyl,1/1/9999
d007,Sales,29250,Besancenot,Radoslaw,1/1/9999
d005,Development,29256,Schiettecatte,Mountaz,1/1/9999
d004,Production,29284,Hofman,Aloys,1/1/9999
d005,Development,29317,Conia,Navin,1/1/9999
d004,Production,29329,Sooriamurthi,Takushi,1/1/9999
d003,Human Resources,29342,Muniz,Moti,1/1/9999
d005,Development,29361,McDermid,LiMin,1/1/9999
d002,Finance,29366,Ohori,Domenico,1/1/9999
d007,Sales,29366,Ohori,Domenico,1/1/9999
d005,Development,29372,Chinin,Parke,1/1/9999
d004,Production,29387,Saoudi,Roddy,1/1/9999
d009,Customer Service,29389,Swist,Takushi,1/1/9999
d004,Production,29390,Crooks,Mang,1/1/9999
d004,Production,29407,Strandh,Reuven,1/1/9999
d005,Development,29419,Scharstein,Kendra,1/1/9999
d005,Development,29425,Muntz,Mingdong,1/1/9999
d005,Development,29436,Schnelling,Godehard,1/1/9999
d004,Production,29442,Piazza,Horward,1/1/9999
d002,Finance,29465,Ramsay,Kshitij,1/1/9999
d008,Research,29468,Bojadziev,Ramya,1/1/9999
d005,Development,29469,Cmelik,Rafael,1/1/9999
d007,Sales,29485,Shobatake,Ortrun,1/1/9999
d005,Development,29486,Gerteisen,Jouni,1/1/9999
d004,Production,29488,Eastman,Niclas,1/1/9999
d002,Finance,29495,Morrey,Mizuhito,1/1/9999
d005,Development,29507,Panwar,Adel,1/1/9999
d004,Production,29511,Taubman,Sadegh,1/1/9999
d004,Production,29513,Cusworth,Genki,1/1/9999
d005,Development,29515,Karcich,Kish,1/1/9999
d004,Production,29519,Bahr,Theirry,1/1/9999
d005,Development,29520,Ozery,Shunichi,1/1/9999
d003,Human Resources,29524,Engberts,Murthy,1/1/9999
d001,Marketing,29527,Oaver,Adamantios,1/1/9999
d007,Sales,29527,Oaver,Adamantios,1/1/9999
d005,Development,29559,Edelhoff,Shin,1/1/9999
d007,Sales,29573,Linnainmaa,Kwangsub,1/1/9999
d009,Customer Service,29573,Linnainmaa,Kwangsub,1/1/9999
d004,Production,29580,Peyn,Rafail,1/1/9999
d007,Sales,29583,Waymire,Subhada,1/1/9999
d009,Customer Service,29594,Ermel,Yolla,1/1/9999
d007,Sales,29596,Lueh,Geoff,1/1/9999
d005,Development,29597,Codenie,Yoshinari,1/1/9999
d001,Marketing,29603,Khamsi,Kristina,1/1/9999
d007,Sales,29603,Khamsi,Kristina,1/1/9999
d005,Development,29623,Stille,Heekeun,1/1/9999
d007,Sales,29651,Knightly,Divier,1/1/9999
d002,Finance,29652,Chleq,Khatoun,1/1/9999
d009,Customer Service,29659,Pokrovskii,Adel,1/1/9999
d001,Marketing,29690,Fioravanti,Eran,1/1/9999
d007,Sales,29690,Fioravanti,Eran,1/1/9999
d005,Development,29715,Valette,Dinah,1/1/9999
d007,Sales,29719,Takkinen,Sumant,1/1/9999
d004,Production,29722,Flanders,Aron,1/1/9999
d007,Sales,29729,Bernatsky,Alassane,1/1/9999
d004,Production,29739,Comyn,Danil,1/1/9999
d008,Research,29759,Thimonier,Arif,1/1/9999
d008,Research,29760,Paludetto,Jinya,1/1/9999
d009,Customer Service,29777,Muntz,Dharmaraja,1/1/9999
d005,Development,29788,Kaminger,Radhia,1/1/9999
d001,Marketing,29795,Sessa,Kristine,1/1/9999
d004,Production,29797,Krzyzanowski,Selwyn,1/1/9999
d004,Production,29802,Paciorek,Herb,1/1/9999
d004,Production,29810,Madeira,Arne,1/1/9999
d009,Customer Service,29810,Madeira,Arne,1/1/9999
d004,Production,29811,Kohling,Erzsebet,1/1/9999
d005,Development,29812,Gimarc,Yefim,1/1/9999
d004,Production,29816,Munck,Kiyomitsu,1/1/9999
d004,Production,29817,Sadowski,Florian,1/1/9999
d005,Development,29825,Kenevan,Jeong,1/1/9999
d005,Development,29829,Pepe,Pranjal,1/1/9999
d005,Development,29856,Pardalos,Yuichiro,1/1/9999
d004,Production,29871,Pocchiola,Xiaobin,1/1/9999
d008,Research,29877,Kitai,Mingsen,1/1/9999
d002,Finance,29902,Asser,Kasturi,1/1/9999
d004,Production,29917,Roohalamini,Sahrah,1/1/9999
d004,Production,29919,Kugler,Goa,1/1/9999
d007,Sales,29946,McClure,Shooichi,1/1/9999
d005,Development,29948,Kruskal,Elzbieta,1/1/9999
d006,Quality Management,29950,Vasanthakumar,Laurentiu,1/1/9999
d004,Production,29952,Kusakari,Jianhao,1/1/9999
d009,Customer Service,29955,Bondorf,Dannz,1/1/9999
d005,Development,29969,McAffer,Lena,1/1/9999
d004,Production,29983,Christ,Lucian,1/1/9999
d009,Customer Service,29983,Christ,Lucian,1/1/9999
d004,Production,29985,Roisin,Marin,1/1/9999
d001,Marketing,29991,Rosenbaum,Aral,1/1/9999
d006,Quality Management,29996,Pfau,Gennady,1/1/9999
d004,Production,30000,Avouris,Matt,1/1/9999
d008,Research,30001,Morton,Izaskun,1/1/9999
d004,Production,30008,Kalafatis,Tsutomu,1/1/9999
d006,Quality Management,30039,Antonisse,Ronghao,1/1/9999
d005,Development,30062,Ertl,Phuoc,1/1/9999
d001,Marketing,30075,Zedlitz,Bojan,1/1/9999
d004,Production,30078,Thummel,Greger,1/1/9999
d009,Customer Service,30078,Thummel,Greger,1/1/9999
d005,Development,30083,Burnard,Wanqing,1/1/9999
d005,Development,30084,Cronin,Jiafu,1/1/9999
d005,Development,30092,Pusterhofer,Kristof,1/1/9999
d005,Development,30101,Olano,Berni,1/1/9999
d001,Marketing,30103,Gini,Murthy,1/1/9999
d005,Development,30106,Yamaashi,Zeljko,1/1/9999
d005,Development,30123,Baba,Rosita,1/1/9999
d008,Research,30136,Baranowski,Unal,1/1/9999
d007,Sales,30143,Huttel,Indrajit,1/1/9999
d001,Marketing,30148,Linnainmaa,Lakshmi,1/1/9999
d004,Production,30167,Tiemann,Sorina,1/1/9999
d001,Marketing,30179,Krzyzanowski,Shirish,1/1/9999
d007,Sales,30179,Krzyzanowski,Shirish,1/1/9999
d005,Development,30189,Koblick,Krisda,1/1/9999
d003,Human Resources,30206,Mandelberg,Toong,1/1/9999
d007,Sales,30209,Aloisi,Yannis,1/1/9999
d009,Customer Service,30209,Aloisi,Yannis,1/1/9999
d004,Production,30226,Reghbati,Shiv,1/1/9999
d004,Production,30241,Thiran,Kensyu,1/1/9999
d001,Marketing,30269,Valtorta,Dharmaraja,1/1/9999
d003,Human Resources,30269,Valtorta,Dharmaraja,1/1/9999
d004,Production,30274,Chiola,Hironoby,1/1/9999
d006,Quality Management,30275,Malabarba,Miquel,1/1/9999
d004,Production,30276,Matheson,Kazuhiko,1/1/9999
d004,Production,30285,Cyre,Parke,1/1/9999
d007,Sales,30302,Sankaranarayanan,Amstein,1/1/9999
d003,Human Resources,30309,Azevdeo,Jayesh,1/1/9999
d004,Production,30310,Senzako,Mototsugu,1/1/9999
d005,Development,30313,Candan,Srinidhi,1/1/9999
d007,Sales,30330,Nitsch,Caolyn,1/1/9999
d005,Development,30331,Vuskovic,Lene,1/1/9999
d008,Research,30334,Atchley,Yongqiao,1/1/9999
d007,Sales,30351,Blokdijk,Djenana,1/1/9999
d004,Production,30364,Byoun,Miquel,1/1/9999
d009,Customer Service,30372,Maccarone,Xiadong,1/1/9999
d001,Marketing,30373,Vasanthakumar,Jayesh,1/1/9999
d005,Development,30374,Reinhart,Xiaocheng,1/1/9999
d006,Quality Management,30380,Templeman,Jianhao,1/1/9999
d004,Production,30396,Hmelo,Vishv,1/1/9999
d003,Human Resources,30407,Coors,Toshiki,1/1/9999
d005,Development,30408,Crelier,Masasuke,1/1/9999
d007,Sales,30410,Menyhert,Feiyu,1/1/9999
d008,Research,30418,Perl,Adit,1/1/9999
d004,Production,30424,Jenevein,Hsiangchu,1/1/9999
d007,Sales,30425,Akazan,Rimli,1/1/9999
d004,Production,30434,Sury,Shay,1/1/9999
d005,Development,30454,Plessier,Pradeep,1/1/9999
d007,Sales,30466,Giaccio,Sumant,1/1/9999
d005,Development,30470,Jayawardene,Siamak,1/1/9999
d005,Development,30479,Kampfer,Shigenori,1/1/9999
d007,Sales,30497,Pettis,Youjian,1/1/9999
d002,Finance,30509,Comellas,Keiichiro,1/1/9999
d007,Sales,30525,Matzen,Snehasis,1/1/9999
d005,Development,30537,Gini,Bluma,1/1/9999
d002,Finance,30546,Oehlmann,Janalee,1/1/9999
d007,Sales,30546,Oehlmann,Janalee,1/1/9999
d009,Customer Service,30557,Manders,Goncalo,1/1/9999
d006,Quality Management,30569,Gajiwala,Haldon,1/1/9999
d005,Development,30571,Bonifati,Ziva,1/1/9999
d004,Production,30573,Rijckaert,Marie,1/1/9999
d004,Production,30577,Rosaz,JoAnna,1/1/9999
d003,Human Resources,30588,Tokunaga,Chandrasekaran,1/1/9999
d004,Production,30589,Reistad,Chirstian,1/1/9999
d001,Marketing,30601,Cyne,Gilbert,1/1/9999
d007,Sales,30601,Cyne,Gilbert,1/1/9999
d004,Production,30606,Shrader,Chuanyi,1/1/9999
d004,Production,30622,Perko,Naftali,1/1/9999
d002,Finance,30624,Rosiles,Gou,1/1/9999
d004,Production,30633,Ranta,Arra,1/1/9999
d006,Quality Management,30634,Farrel,Patricio,1/1/9999
d004,Production,30644,Hegner,Marlo,1/1/9999
d005,Development,30648,Chartres,Macha,1/1/9999
d007,Sales,30655,Anandan,Xuedong,1/1/9999
d005,Development,30656,Ranst,Gritta,1/1/9999
d007,Sales,30663,Sigstam,Gurbir,1/1/9999
d005,Development,30666,Clemencon,Guadalupe,1/1/9999
d007,Sales,30670,Zizka,Lillian,1/1/9999
d007,Sales,30673,Ozeki,Berry,1/1/9999
d003,Human Resources,30679,Gargeya,Shushma,1/1/9999
d009,Customer Service,30689,Potthoff,Jeong,1/1/9999
d004,Production,30702,Shumilov,Vincent,1/1/9999
d006,Quality Management,30702,Shumilov,Vincent,1/1/9999
d008,Research,30705,Teitelbaum,Satoru,1/1/9999
d003,Human Resources,30727,Sury,Toshimitsu,1/1/9999
d007,Sales,30730,Pelc,Willard,1/1/9999
d002,Finance,30744,Fadgyas,Khatoun,1/1/9999
d005,Development,30761,Iisaka,Hisao,1/1/9999
d007,Sales,30769,Frolund,Berry,1/1/9999
d005,Development,30791,Ariola,Xiong,1/1/9999
d005,Development,30802,Bernini,Keung,1/1/9999
d005,Development,30819,Asrin,Sachio,1/1/9999
d001,Marketing,30824,Bellone,Subbu,1/1/9999
d004,Production,30828,Baumann,Duke,1/1/9999
d007,Sales,30831,Kermarrec,Arno,1/1/9999
d005,Development,30833,Cichocki,Chaoyi,1/1/9999
d008,Research,30833,Cichocki,Chaoyi,1/1/9999
d007,Sales,30834,Erdi,Van,1/1/9999
d005,Development,30846,Montresor,Nidapan,1/1/9999
d008,Research,30851,Castellani,Ortrun,1/1/9999
d005,Development,30856,Lampe,Chaosheng,1/1/9999
d007,Sales,30899,Keirsey,Dannz,1/1/9999
d007,Sales,30923,Ellozy,Chandrasekaran,1/1/9999
d005,Development,30936,Attimonelli,Rosalyn,1/1/9999
d005,Development,30948,Lunt,Xinan,1/1/9999
d006,Quality Management,30948,Lunt,Xinan,1/1/9999
d006,Quality Management,30951,Matzen,Alagu,1/1/9999
d005,Development,30968,Karlin,Ingemar,1/1/9999
d009,Customer Service,30968,Karlin,Ingemar,1/1/9999
d004,Production,30998,Ebeling,Zhongwei,1/1/9999
